tadam_whafol70,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,de ,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_avr166,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,peryzomatibus ,,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_mbsclm28173,,adam ,,in agro ,damasceno ,,formatus ,c ,in ,paradysum ,,,unde ,4or ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,facttis ,,,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_pbnlat15254,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiior ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_won364,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,inposito  ,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maladicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_lbladd606281,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,lumina ,,oriuntur ,translatus ,cum  ,costa ,,,,femine ,,facte ,ipius ,dormientis ,nomine ,,eua ,,imposito ,,,ceteris ,qui ,rebus ,impositis nomine  ,,christo ,,ecclesia ,,prophetasset ,eidem ,femine  ,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,sue ,statim agnite ,factis ,periozomatibus  solus sicus ,,,,,,a ,domino  ,,paradiso ,eiectus ,post ,increpationem ,collocatis ,in ,aditu ,cherubin ,cum ,,gladio ,flammeo ,unsatili  ,,,,,,terra ,maledicta ,,,,insudore ,uultus ,labore manuum ,,panem ,acquiritur ,quod ,toti ,posteritati ,reliquitur  ,sententia pomo mulieri illata,,,
tadam_lol390,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,cherubim ,a ,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquirit,,,,,,,,
tadam_mbsclm8201,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,eue ,,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,cherubyn ,,,,,,flammeo ,,,,,,,,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_CCC503,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_kac696,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,iiii ,,flumina ,oriuntur ,translatus ,dum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,cherubym ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_mjrgast2037,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum  ,costa ,dormientis ,,,femine ,,,,,facte ,,,nomine ,inposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem ,femine  ,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,eiectus  ,,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur ,,,,adam ,interpretatur rubeus,,,
tadam_lol490,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino ,paradyso ,,,,,collocatis ,cherubyn ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquirit,,,,,,,,
tadam_eufdeperfca2108,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_tburps75iii,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,oriuntur ,flumina ,,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,,,,,,,pro ,disconuenientia ,nuditatis ,,,,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,cherubym ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_pfllewe72,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,s ,in paradisum ,uoluptatis ,i  liciatus ,cum ,femine  ,costa ,,,dormientis ,facte ,a domino ,eua ,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,a domino prohibito ,acquieuisset ,propter ,disconuenientiam ,nuditatis ,facte ,,factis ,est ,perizomatibus  ,fabio fiani  ,,paradiso cum ,ca ,a ,domino ,est ,eitus  ,paradisi ,postam ,,,cherubyn ,,,cum ,flammeo ,gladio ,collocatis ,post ,increpationem ,accepit ,in ,maledicte ,ut  ,terra ,maledicta ,einas ,tribulos ,germmante ,insudore ,uultus ,siu ,,panem ,quo ,nestatur ,acquiratur  ,nite ade  ,adam ,14 anno inte sue genuit caym fr 30 anno ,genuit ,abel ,est 230 genuit seth
tadam_hubsalix40,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradyso ,,,unde ,iiii ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,acq ,,pro ,disconuenientia ,nuditatis ,,,factis ,peryzomatibus ,,,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_pnkiiie5,,adam ,,in agro ,damasceno ,,formatus ,est  ,in ,,paradisum ,,unde ,orflumina ,,,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,,,sicut ,,ceteris ,,rebus ,nomine ,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,pomo ,comedendo ,,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,,,flammeo ,gladiopost ,increpa ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus  ,,,panem ,acquiritur,,,,,,,,
tadam_lub1314,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,s ,philon  agagano rege indie otus ,est ,gages gyon qui anylus deus eit tygris eufrates ,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,imposito post dormicionem prophetasset  ,,,,christo ,,ecclesia  ,dilinuo furo  indicio proignie postea libis sius idicanit  rerepta alpente lyute uultu ugineum beta  ,,,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,s  polys fratrem ,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_rsa6519,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quattuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facta ,,eua ,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,,disconueniencia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,postquam ,increpacionem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,commedit a missa quorum in mortalitate in,,,,,,,,
tadam_nbl1183,,adam ,,in agro ,damasceno ,,formatus ,gennc ,,,,,,,,,,translatus ,,in paradisum ,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconunenientia ,nuditatis ,,,factis ,,perizomatibus ,qi  ,,,,a ,domino  ,,paradiso ,merat ,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_fsugermquart13,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quattuor ,,flumina ,oriuntur ,translatus ,,femina  ,,,,,costa ,,,dormientis ,facta ,,eua ,nomine ,,sicut ,,ceteris ,imposuit  ,,,,christo ,,ecclesia ,,prophetasset ,cue  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,perisomatibus ,,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_pbnlat15637,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,inposito  ,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_vbapallat1723,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiii ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,cherubyn ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_abs583,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quattuor ,,flumina ,oriuntur ,translatus ,,,,,,femine  ,costa ,,,dormientis ,facte ,,,,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,et ,,,,eidem ,,comedendo ,pomo ,adquieuissent ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,cheru flameo ,,,,,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,in ,,,insudore ,uultus ,,,panem ,adquiritur ,sequitur consequenter,,,,,,,
tadam_mbsclm314,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,te ,ecclesia ,,prophetasset ,e  ,,comedendo ,poma ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus   ,,,,,,,paradyso ,,,,,collocatis ,cherubym ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledictus ,,,,insudore ,uultus ,sui ,,panem ,acquiritur,,,,,,,,
tadam_bsbtheollatfol64,c ,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,inposito ,sicut ,ceteris ,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,acq ,uieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiusunt,,,,,,,,
tadam_fub36a,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem ,miti  ,comedendo ,pomo ,serisisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_akbwettf9,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,imposuisset   ,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomium ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,cherubim ,,,,flammeo ,gladio ,,post ,increpationem ,proiectus ,,,,,,in ,terram maledictam ,,insudore ,uultus ,picet ,i ,,acquiritur,,,,,,,,
tadam_swltheolphil2122,,adam ,,in agro ,damasceno ,,formatus ,,in  ,s ,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,facte ,,dormientis ,,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,peryzomatibus ,,,,,,,,,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_lblcotrollxiv12,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
