tadam_vbb342,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiii ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,dor mientis ,,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,auditatis ,,,factis ,peryzomatibus ,,,,,,a domino ,de ,paradiso ,,,collocatis ,cherubyn ,,,et ,flameo ,gladio ,,,,post ,increpationem ,eiectus ,,,,de terra ,malidicta ,,,,insudore ,uultus ,,,panem ,acquirit,,,,,,,,,,,,,
tadam_culdd116,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,,iiii ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,eua ,,nomine ,imposita ,,sicut ,et ,,ceteris ,,rebus ,,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconue nientiam ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_avr166,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,eua ,,nomine ,,imposito ,sicut ,et ,,ceteris ,,rebus ,,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,peryzomatibus ,,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_mbsclm28173,,adam ,,in agro ,damasceno ,,formatus ,est ,ut ,in ,paradysum ,,,unde ,4or ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_bas4,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,,,ecclesia ,prophetasset ,et ,eidem ,decomedendo ,,,,,,pomo ,acquieuisset ,,pro ,disconueni entia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,in ,sudore ,,,uultus ,,,panem ,acquirit,,,,,,,,,,,,,
tadam_pbnlat15254,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,eua ,,nomine ,,imposito ,sicut ,et ,,ceteris ,,rebus ,,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,,,,,,
tadam_won364,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,paradysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,,inposito ,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradyso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maladicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_lbladd606281,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,,de ,costa ,,,femine ,facte ,ipsius ,dormientis ,nomine ,eua ,imposito ,,,,ceteris ,qui ,rebus ,impositis nominibus ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,femine ,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconueniencia ,nuditatis ,sue ,statim agnite ,factis ,periozomatibus ,,de ,foliis ficus ,,,a domino ,de ,paradiso ,eiectus ,post increpationem ,collocatis ,in ,aditu ,cherubin ,cum ,,gladio ,flammeo ,et ,uersatili ,,,,,,,de terra ,maledicta ,,,,insudore ,uultus ,et labore manuum ,,panem ,acquiritur ,quod ,,,,et ,toti ,posteritati reliquitur ,de ,sententia primo mulieri illata,,,,
tadam_lol390,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,cherubim ,,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquirit,,,,,,,,,,,,,
tadam_mbsclm8201,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,paradysum ,,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,eue ,,nomine ,,imposito ,sicut ,et ,,ceteris ,,rebus ,,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradyso ,,,collocatis ,cherubyn ,,,et ,,,flammeo ,,,,,,,,,,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_dul190,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,4or ,,flumina ,oriuntur ,translatus ,,,et ,femina ,,,,,,,de ,costa ,,dormientis ,facta ,,eue ,,nomine ,,,sicut ,et ,,ceteris ,imposuit ,et ,,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eue ,,,de ,,comedendo ,,pomo ,aquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,perisomatibus ,,,,,,a domino ,de ,paradiso ,collatis ,,,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpatonem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquirit,,,,,,,,,,,,,
tadam_CCC503,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_kac696,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,pa radysum ,,,unde ,iiii ,,flumina ,oriuntur ,translatus ,dum ,,,,,,,,,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,discon uenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradyso ,,,collocatis ,cherubym ,,,et ,flammeo ,gladio ,,,,post ,incre pationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_mjrgast2037,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,,de ,costa ,,dormientis ,femine ,facte ,,,nomine ,inposito ,,sicut ,et ,,ceteris ,,rebus ,,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,femine ,,de ,,comedendo ,,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,eiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur ,,,adam ,interpretatur rubeus,,,,,,,,,
tadam_lol490,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,,paradyso ,,,collocatis ,cherubyn ,,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquirit,,,,,,,,,,,,,
tadam_eufdeperfca2108,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_tburps75iii,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiiior ,oriuntur ,flumina ,,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,,,,,,,,,,,,pro ,disconuenientia ,nuditatis ,,,,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,cherubym ,,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_pfllewe72,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,s ,in paradisum ,uoluptatis ,in ,deliciarum ,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,a domino ,,,eua ,nomine ,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,a domino prohibito ,acquieuisset ,propter ,disconuenientiam ,nuditatis ,facte ,,factis ,est ,perizomatibus ,de ,foliis ficus ,de ,paradiso cum ea ,a domino ,est ,,eiectus ,et ante paradisi ,portam ,cherubyn ,cum ,,,flammeo ,gladio ,collocatis ,,,post ,increpationem ,accepit ,in ,maledicte ,ut ,de terra ,maledicta ,einas ,et tribulos ,germmante ,insudore ,uultus ,sui ,panem ,quo ,nestatur ,acquiratur ,anno uite ade  ,adam  ,anno uite sue genuit caym ,et ,30 anno genuit abel ,,,,est ,230 ,genuit ,seth
tadam_hubsalix40,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,paradyso ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,,,nomine ,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,peryzomatibus ,,,,,,a domino ,de ,paradyso ,colloca ,tis ,,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_pnkiiie5,c ,adam ,,in agro ,damasceno ,,formatus ,est ,et ,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,,,,sicut ,et ,,ceteris ,,rebus ,nomine ,inposito ,de ,christo ,,,,,,et ,de ,ecclesia ,prophetasset ,et ,eidem ,,,de ,pomo ,comedendo ,,,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus  ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,a ,,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,sui ,,panem ,acquiritur,,,,,,,,,,,,,
tadam_lub1314,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,s ,phison  agagano rege indie otus est ganges gyon qui ,et ,nylus deus ,est ,tygris ,et ,eufrates ,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,,,nomine ,sicut ,et ,,ceteris ,imposito ,et ,post dormicionem prophetasset ,,de ,christo ,et ,ecclesia ,et ,de ,diluuio furoe ,et ,de ,indicio proignie et postea libis sius idicanit ,,et  ,rerepta alpente lyute uultu ugineum ,et ,beta ,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,s ,,de ,polys fratrem ,a domino ,de ,paradyso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_rsa6519,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,quattuor ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,facta ,,,,,eua ,nomine ,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,,disconueniencia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,postquam ,increpacionem ,,,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,commedit ,a ,missa quorum ,,in ,mortalitate ,in,,,,,,,
tadam_nbl1183,,adam ,,in agro ,damasceno ,,formatus ,geniic ,et ,,,,,,,,,,translatus ,,in paradisum ,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,,,nomine ,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,geniiic ,pomo ,acquieuisset ,,pro ,disconunenientia ,nuditatis ,,,factis ,,perizomatibus ,qi  ,,,,a domino ,de ,paradiso ,merat ,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_fsugermquart13,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,quattuor ,,flumina ,oriuntur ,translatus ,,,et ,femina ,,,,,,,de ,costa ,,dormientis ,facta ,,,,,eua ,nomine ,sicut ,et ,,ceteris ,imposuit ,et ,,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,,,et ,cue ,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,perisomatibus ,,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_pbnlat15637,,adam ,,in agro ,damasceno ,,formatus ,,,in ,paradysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,,,nomine ,sicut ,et ,,ceteris ,,rebus ,,inposito ,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradyso ,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,,,,,,
tadam_vbapallat1723,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiii ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,,,nomine ,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,cherubyn ,,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
